"candidate_id","agent_batch_id","review_role","run_id","recommendation","trait_name","dataset_id","value_lower","value_lower_inclusive","value_upper","value_upper_inclusive","scale_factor","n_matched_records","confidence","rationale","evidence_reference","conflicts_or_uncertainty"
"96db4702823b52425bb01a87dfa986cf9b32fe1019786911bf243cf039784fb2","stem_specific_density_02","adjudicator","pilot_20260814T200527Z_adj","insufficient_evidence","Stem specific density (SSD, stem dry mass per stem fresh volume) or wood density","","","","","","","11","agent_consensus","Both blind reviewers independently recommend insufficient_evidence with identical selectors. Deterministic evidence is investigate_unit_pattern, has no recovered proposal, and historical evidence remains a manual-review deferment; no corrective action is supported.","pilot_candidate_recommendations.csv; pilot_dataset_evidence.csv; pilot_record_evidence.csv; pilot_proposal_diagnostics.csv; pilot_historical_comparison.csv; reviewer_a_pilot_20260814T195648Z_a.csv; reviewer_b_pilot_20260814T195648Z_b.csv","The agreeing no-correction proposal does not verify the unit hypothesis; source-unit documentation is still needed before any correction."
"0edd55e98ff70bd1fb7ed5c5d6f515e59f32800ea27357dcbd2fa9321d3ebdf6","stem_specific_density_02","adjudicator","pilot_20260814T200527Z_adj","insufficient_evidence","Stem specific density (SSD, stem dry mass per stem fresh volume) or wood density","","","","","","","11","agent_consensus","Both blind reviewers independently recommend insufficient_evidence with identical selectors. Deterministic evidence is investigate_unit_pattern, has no recovered proposal, and historical evidence remains a manual-review deferment; no corrective action is supported.","pilot_candidate_recommendations.csv; pilot_dataset_evidence.csv; pilot_record_evidence.csv; pilot_proposal_diagnostics.csv; pilot_historical_comparison.csv; reviewer_a_pilot_20260814T195648Z_a.csv; reviewer_b_pilot_20260814T195648Z_b.csv","The agreeing no-correction proposal does not verify the unit hypothesis; source-unit documentation is still needed before any correction."
"6e8b15a36c98cf5bb9b51d8659aafa12635164fd04615a0eadbbb7e6f9fcc148","stem_specific_density_02","adjudicator","pilot_20260814T200527Z_adj","insufficient_evidence","Stem specific density (SSD, stem dry mass per stem fresh volume) or wood density","","","","","","","11","agent_consensus","Both blind reviewers independently recommend insufficient_evidence with identical selectors. Deterministic evidence is investigate_historical_drift, has no recovered proposal, and historical evidence remains a manual-review deferment; no corrective action is supported.","pilot_candidate_recommendations.csv; pilot_dataset_evidence.csv; pilot_record_evidence.csv; pilot_proposal_diagnostics.csv; pilot_historical_comparison.csv; reviewer_a_pilot_20260814T195648Z_a.csv; reviewer_b_pilot_20260814T195648Z_b.csv","The agreeing no-correction proposal does not establish that the flagged values are correct; source-specific evidence is still needed before any correction."
"bf40ff979cfad48fc4481bca33e36a42de27880303f961ee425080f65e6d67bf","stem_specific_density_02","adjudicator","pilot_20260814T200527Z_adj","insufficient_evidence","Stem specific density (SSD, stem dry mass per stem fresh volume) or wood density","","","","","","","10","agent_consensus","Both blind reviewers independently recommend insufficient_evidence with identical selectors. Deterministic evidence is investigate_historical_drift, has no recovered proposal, and historical evidence remains a manual-review deferment; no corrective action is supported.","pilot_candidate_recommendations.csv; pilot_dataset_evidence.csv; pilot_record_evidence.csv; pilot_proposal_diagnostics.csv; pilot_historical_comparison.csv; reviewer_a_pilot_20260814T195648Z_a.csv; reviewer_b_pilot_20260814T195648Z_b.csv","The agreeing no-correction proposal does not establish that the flagged values are correct; source-specific evidence is still needed before any correction."
"f91c03d1885dfaa70d49c03f81a6d9709cd1086e63f60f912476e45a6488a833","stem_specific_density_02","adjudicator","pilot_20260814T200527Z_adj","insufficient_evidence","Stem specific density (SSD, stem dry mass per stem fresh volume) or wood density","","","","","","","10","agent_consensus","Both blind reviewers independently recommend insufficient_evidence with identical selectors. Deterministic evidence is investigate_historical_drift, has no recovered proposal, and historical evidence remains a manual-review deferment; no corrective action is supported.","pilot_candidate_recommendations.csv; pilot_dataset_evidence.csv; pilot_record_evidence.csv; pilot_proposal_diagnostics.csv; pilot_historical_comparison.csv; reviewer_a_pilot_20260814T195648Z_a.csv; reviewer_b_pilot_20260814T195648Z_b.csv","The agreeing no-correction proposal does not establish that the flagged values are correct; source-specific evidence is still needed before any correction."
"04476eb389eabea6ca1cdb02bd732d6d645b093da16fef3c453781bf548d990b","stem_specific_density_02","adjudicator","pilot_20260814T200527Z_adj","insufficient_evidence","Stem specific density (SSD, stem dry mass per stem fresh volume) or wood density","","","","","","","10","agent_consensus","Both blind reviewers independently recommend insufficient_evidence with identical selectors. Deterministic evidence is investigate_historical_drift, has no recovered proposal, and historical evidence remains a manual-review deferment; no corrective action is supported.","pilot_candidate_recommendations.csv; pilot_dataset_evidence.csv; pilot_record_evidence.csv; pilot_proposal_diagnostics.csv; pilot_historical_comparison.csv; reviewer_a_pilot_20260814T195648Z_a.csv; reviewer_b_pilot_20260814T195648Z_b.csv","The agreeing no-correction proposal does not establish that the flagged values are correct; source-specific evidence is still needed before any correction."
"423c8c46af538fefed2581897c11b4ae7f330973bf31a705e9cac117075a2808","stem_specific_density_02","adjudicator","pilot_20260814T200527Z_adj","insufficient_evidence","Stem specific density (SSD, stem dry mass per stem fresh volume) or wood density","","","","","","","10","agent_consensus","Both blind reviewers independently recommend insufficient_evidence with identical selectors. Deterministic evidence is investigate_historical_drift, has no recovered proposal, and historical evidence remains a manual-review deferment; no corrective action is supported.","pilot_candidate_recommendations.csv; pilot_dataset_evidence.csv; pilot_record_evidence.csv; pilot_proposal_diagnostics.csv; pilot_historical_comparison.csv; reviewer_a_pilot_20260814T195648Z_a.csv; reviewer_b_pilot_20260814T195648Z_b.csv","The agreeing no-correction proposal does not establish that the flagged values are correct; source-specific evidence is still needed before any correction."
"6a64ecd1f653a6b80b0e46ec900d175835943fd559acd6cbe2c833fb2fda5b1e","stem_specific_density_02","adjudicator","pilot_20260814T200527Z_adj","insufficient_evidence","Stem specific density (SSD, stem dry mass per stem fresh volume) or wood density","","","","","","","10","agent_consensus","Both blind reviewers independently recommend insufficient_evidence with identical selectors. Deterministic evidence is investigate_historical_drift, has no recovered proposal, and historical evidence remains a manual-review deferment; no corrective action is supported.","pilot_candidate_recommendations.csv; pilot_dataset_evidence.csv; pilot_record_evidence.csv; pilot_proposal_diagnostics.csv; pilot_historical_comparison.csv; reviewer_a_pilot_20260814T195648Z_a.csv; reviewer_b_pilot_20260814T195648Z_b.csv","The agreeing no-correction proposal does not establish that the flagged values are correct; source-specific evidence is still needed before any correction."
"298235d7ce4a7b65db8d4ad931faa0d42e8f3181397e7cfd405762cec5c791b2","stem_specific_density_02","adjudicator","pilot_20260814T200527Z_adj","insufficient_evidence","Stem specific density (SSD, stem dry mass per stem fresh volume) or wood density","","","","","","","10","agent_consensus","Both blind reviewers independently recommend insufficient_evidence with identical selectors. Deterministic evidence is investigate_historical_drift, has no recovered proposal, and historical evidence remains a manual-review deferment; no corrective action is supported.","pilot_candidate_recommendations.csv; pilot_dataset_evidence.csv; pilot_record_evidence.csv; pilot_proposal_diagnostics.csv; pilot_historical_comparison.csv; reviewer_a_pilot_20260814T195648Z_a.csv; reviewer_b_pilot_20260814T195648Z_b.csv","The agreeing no-correction proposal does not establish that the flagged values are correct; source-specific evidence is still needed before any correction."
"e0575548592a0f75604e6e0bac350c04d0f6134da0f17f91ba86851fcd1aebd7","stem_specific_density_02","adjudicator","pilot_20260814T200527Z_adj","insufficient_evidence","Stem specific density (SSD, stem dry mass per stem fresh volume) or wood density","","","","","","","10","agent_consensus","Both blind reviewers independently recommend insufficient_evidence with identical selectors. Deterministic evidence is investigate_historical_drift, has no recovered proposal, and historical evidence remains a manual-review deferment; no corrective action is supported.","pilot_candidate_recommendations.csv; pilot_dataset_evidence.csv; pilot_record_evidence.csv; pilot_proposal_diagnostics.csv; pilot_historical_comparison.csv; reviewer_a_pilot_20260814T195648Z_a.csv; reviewer_b_pilot_20260814T195648Z_b.csv","The agreeing no-correction proposal does not establish that the flagged values are correct; source-specific evidence is still needed before any correction."
