candidate_id,agent_batch_id,review_role,run_id,recommendation,trait_name,dataset_id,value_lower,value_lower_inclusive,value_upper,value_upper_inclusive,scale_factor,n_matched_records,confidence,rationale,evidence_reference,conflicts_or_uncertainty
96db4702823b52425bb01a87dfa986cf9b32fe1019786911bf243cf039784fb2,stem_specific_density_02,reviewer_a,pilot_20260814T195648Z_a,insufficient_evidence,"Stem specific density (SSD, stem dry mass per stem fresh volume) or wood density",,,,,,,11,medium,"Dataset 98088 has ten closely clustered values around 0.0057 and dataset 100344 has one value of 0.57, a near-100-fold contrast; the record evidence alone does not establish either dataset's reported unit or which scale is intended.","pilot_dataset_evidence.csv; pilot_record_evidence.csv; pilot_historical_comparison.csv","The apparent factor of 100 is source-specific but lacks source-dataset unit documentation; neither source can be safely altered."
0edd55e98ff70bd1fb7ed5c5d6f515e59f32800ea27357dcbd2fa9321d3ebdf6,stem_specific_density_02,reviewer_a,pilot_20260814T195648Z_a,insufficient_evidence,"Stem specific density (SSD, stem dry mass per stem fresh volume) or wood density",,,,,,,11,medium,"Dataset 99613 contains ten values from 373 to 559 while dataset 100615 contains one value of 0.55; this is compatible with a unit contrast, but the supplied evidence does not document either source's unit or conversion.","pilot_dataset_evidence.csv; pilot_record_evidence.csv; pilot_historical_comparison.csv","The near-1000-fold source-median ratio is not sufficient without source documentation, and both source values can be plausible under different unit conventions."
6e8b15a36c98cf5bb9b51d8659aafa12635164fd04615a0eadbbb7e6f9fcc148,stem_specific_density_02,reviewer_a,pilot_20260814T195648Z_a,insufficient_evidence,"Stem specific density (SSD, stem dry mass per stem fresh volume) or wood density",,,,,,,11,low,"Dataset 99613 contains ten values from 316 to 444 and dataset 100615 contains one value of 0.5, but their source-median ratio is not a close supported conversion and no source unit metadata is supplied.","pilot_dataset_evidence.csv; pilot_record_evidence.csv; pilot_historical_comparison.csv","A possible cross-unit issue remains unresolved; the stable historical aggregate does not identify a correct selector or factor."
bf40ff979cfad48fc4481bca33e36a42de27880303f961ee425080f65e6d67bf,stem_specific_density_02,reviewer_a,pilot_20260814T195648Z_a,insufficient_evidence,"Stem specific density (SSD, stem dry mass per stem fresh volume) or wood density",,,,,,,10,low,"The ten values in dataset 98091 form a continuous distribution from 0.00358 to 0.00758 with no documented source-unit problem or recovered selector.","pilot_dataset_evidence.csv; pilot_record_evidence.csv; pilot_historical_comparison.csv","Historical review requested manual assessment, but the changed spread and no source documentation leave no defensible correction."
f91c03d1885dfaa70d49c03f81a6d9709cd1086e63f60f912476e45a6488a833,stem_specific_density_02,reviewer_a,pilot_20260814T195648Z_a,insufficient_evidence,"Stem specific density (SSD, stem dry mass per stem fresh volume) or wood density",,,,,,,10,low,"The ten values in dataset 98087 are internally continuous from 0.00514 to 0.01114; no recovered selector or source-specific unit evidence identifies an erroneous subset.","pilot_dataset_evidence.csv; pilot_record_evidence.csv; pilot_historical_comparison.csv","The named taxon is unresolved and historical manual-review status is not evidence for exclusion or scaling."
04476eb389eabea6ca1cdb02bd732d6d645b093da16fef3c453781bf548d990b,stem_specific_density_02,reviewer_a,pilot_20260814T195648Z_a,insufficient_evidence,"Stem specific density (SSD, stem dry mass per stem fresh volume) or wood density",,,,,,,10,low,"The ten values in dataset 98089 range continuously from 0.00477 to 0.00996; source documentation is absent and no exact recovered correction was supplied.","pilot_dataset_evidence.csv; pilot_record_evidence.csv; pilot_historical_comparison.csv","The historical variance differs slightly, but that drift does not establish that any record is invalid or mis-scaled."
423c8c46af538fefed2581897c11b4ae7f330973bf31a705e9cac117075a2808,stem_specific_density_02,reviewer_a,pilot_20260814T195648Z_a,insufficient_evidence,"Stem specific density (SSD, stem dry mass per stem fresh volume) or wood density",,,,,,,10,low,"Dataset 98091 has three repeated low values and a continuous positive remainder through 0.01809; no source-specific evidence establishes a unit or transcription error.","pilot_dataset_evidence.csv; pilot_record_evidence.csv; pilot_historical_comparison.csv","Variation within one source and an unresolved aggregate taxon cannot justify a group correction."
6a64ecd1f653a6b80b0e46ec900d175835943fd559acd6cbe2c833fb2fda5b1e,stem_specific_density_02,reviewer_a,pilot_20260814T195648Z_a,insufficient_evidence,"Stem specific density (SSD, stem dry mass per stem fresh volume) or wood density",,,,,,,10,low,"The ten values in dataset 98097 form a compact continuous distribution from 0.00476 to 0.00771 without a recovered selector or source-unit evidence.","pilot_dataset_evidence.csv; pilot_record_evidence.csv; pilot_historical_comparison.csv","Historical review status alone does not identify a record to exclude or scale."
298235d7ce4a7b65db8d4ad931faa0d42e8f3181397e7cfd405762cec5c791b2,stem_specific_density_02,reviewer_a,pilot_20260814T195648Z_a,insufficient_evidence,"Stem specific density (SSD, stem dry mass per stem fresh volume) or wood density",,,,,,,10,low,"One value of 0.05511 is about tenfold above the central values in dataset 98094, but a single extreme without source documentation is insufficient to infer exclusion or scaling.","pilot_dataset_evidence.csv; pilot_record_evidence.csv; pilot_historical_comparison.csv","The outlying value remains plausible but flagged; no recovered rule or primary source evidence resolves it."
e0575548592a0f75604e6e0bac350c04d0f6134da0f17f91ba86851fcd1aebd7,stem_specific_density_02,reviewer_a,pilot_20260814T195648Z_a,insufficient_evidence,"Stem specific density (SSD, stem dry mass per stem fresh volume) or wood density",,,,,,,10,low,"The ten values in dataset 98090 form a continuous positive distribution from 0.00332 to 0.00678, with no recovered selector or documented unit discrepancy.","pilot_dataset_evidence.csv; pilot_record_evidence.csv; pilot_historical_comparison.csv","The historical manual-review flag and modest summary drift do not establish a correction."
