candidate_id,review_stage,taxon_name,trait_domain_name,n_records,n_trait_names,n_datasets,n_domain_outliers,n_taxon_outliers,n_invalid_values,source_references,candidate_reasons,triage_outcome,reconciliation_outcome,has_objective_scale_evidence,closure_outcome,n_source_rules,n_proposed_source_rules,n_approved_source_rules,proposed_source_rule_ids,approved_source_rule_ids,investigation_outcome
f12522c84c97c444c19b0a551f4bb7773646ff116b386d4a4c2f0b36e884cc3d,raw,Ambrosia salsola,Leaf Area,13,2,3,0,4,0,review_submission_csv:1062,taxon_outlier;source_review,pending_isolated_source_pattern,agent_strong_isolated_source_pattern,TRUE,pending_objective_scale_evidence,0,0,0,,,approve_none_grouped
f743995528c846a99ebea65a5f34840576d7dcad31be5d32fd1e7cdff8418a62,raw,Ammophila arenaria,Leaf Area,70,2,13,0,6,0,review_submission_csv:1773,taxon_outlier;source_review,pending_isolated_source_pattern,agent_strong_isolated_source_pattern,TRUE,pending_objective_scale_evidence,0,0,0,,,approve_none_grouped
da0a325706f3af8c90b1b69642d499fbaf88faedb2c50576eed3f00e1e2d7e07,raw,Bistorta bistortoides,Leaf Area,40,2,3,3,7,0,review_submission_csv:1516,domain_outlier;taxon_outlier;source_review,agent_repeated_source_pattern,,TRUE,pending_objective_scale_evidence,1,0,1,,8ddea77f82d884c1f128128e4ecd902453e642499cb52df3b28d00cf682288ab,approve_none_after_source_rule
5d06ce837e2d5b7dbbd0f9aed2ff5cacf5edf3191fc59499476578d99b89b35d,raw,Botrychium dissectum,Leaf Area,12,1,2,3,3,0,review_submission_csv:1519,domain_outlier;taxon_outlier;source_review,pending_submitted_note,propose_scale_validated_threshold,TRUE,pending_objective_scale_evidence,0,0,0,,,approve_none_grouped
43ff42d95da663ac2bc4c56a688f0600b1f77b090d41cd73b32f39fe10c43dae,raw,Calamagrostis canadensis,Leaf Area,21,2,4,0,5,0,review_submission_csv:1479,taxon_outlier;source_review,agent_repeated_source_pattern,,TRUE,pending_objective_scale_evidence,1,0,1,,8ddea77f82d884c1f128128e4ecd902453e642499cb52df3b28d00cf682288ab,approve_none_after_source_rule
7a8a97c80f3ac3ef77564eb431fe507e771bfd09f01af0700a41332f4d553deb,raw,Caltha leptosepala,Leaf Area,22,2,3,7,4,0,review_submission_csv:1561,domain_outlier;taxon_outlier;source_review,agent_repeated_source_pattern,,TRUE,pending_objective_scale_evidence,1,0,1,,8ddea77f82d884c1f128128e4ecd902453e642499cb52df3b28d00cf682288ab,approve_none_after_source_rule
4011d5172d0ba1500d50495f4d8cfa25cfe229eebabbe33327aef643addb11e6,raw,Carthamus lanatus,Leaf Area,13,1,4,0,5,0,review_submission_csv:1024,taxon_outlier;source_review,agent_repeated_source_pattern,,TRUE,pending_objective_scale_evidence,0,0,0,,,approve_none_grouped
3c9d49ad4581d09c408b77d41b1f75cc037f5517d134974d905fb8b753417e72,raw,Centaurea jacea,Leaf Area,268,4,68,45,53,0,review_submission_csv:1027,domain_outlier;taxon_outlier;source_review,pending_submitted_note,propose_scale_validated_threshold,TRUE,pending_objective_scale_evidence,0,0,0,,,approve_none_grouped
72b8b1c7ceaa47dca1a8c92b9ef9ce17f3639588d4a9721d307e0c4bb709a0a3,raw,Chionophila jamesii,Leaf Area,11,1,2,0,3,0,review_submission_csv:1503,taxon_outlier;source_review,agent_repeated_source_pattern,,TRUE,pending_objective_scale_evidence,1,0,1,,8ddea77f82d884c1f128128e4ecd902453e642499cb52df3b28d00cf682288ab,approve_none_after_source_rule
dc7ed1393385f9ccd8def6cc584e085ccf56fd588d7d005be53b0fbeeb4e0053,raw,Cistus creticus,Leaf Area,172,3,37,0,27,0,review_submission_csv:1065,taxon_outlier;source_review,pending_submitted_note,propose_scale_validated_threshold,TRUE,pending_objective_scale_evidence,0,0,0,,,approve_none_grouped
f4d239970a847921f12b87f642dd9b3b4f853d9150e9554d89aaf6836b5399b2,raw,Crupina vulgaris,Leaf Area,15,1,2,0,3,0,review_submission_csv:1569,taxon_outlier;source_review,pending_submitted_note,propose_scale_validated_threshold,TRUE,pending_objective_scale_evidence,0,0,0,,,approve_none_grouped
8bab8ee6ab6532ac15688a1eab5ccef15287a5168b32bcbf73d26f87d94f9b23,raw,Danthonia intermedia,Leaf Area,25,1,2,0,1,0,,taxon_outlier,agent_repeated_source_pattern,,TRUE,pending_objective_scale_evidence,1,0,1,,8ddea77f82d884c1f128128e4ecd902453e642499cb52df3b28d00cf682288ab,resolved_by_source_rule_candidate_retired
