decision_id,candidate_id,taxon_name,trait_domain_name,scale_factor,rule_stratum,proposed_record_count,n_matched,n_scaled,record_count_matches,reviewer,reviewed_at,evidence_reference
41493674b910e7a9c045073d74957d148526129157de388b4abc8c62cfc0e30f,4e5f57788803c9d51d1cc088de268e5d322313619286ca1bd412bb9bcda6b38c,Alopecurus pratensis,Leaf Area,100,Leaf Area|threshold|below|factor=100,63,63,63,TRUE,OndrejMottl,2026-08-27,Outputs/Reports/Trait_corrections/raw/trait_review_programmatic_spot_check_report.md
50a5ecc369aee4bcae9a2a7f80d7b583d80ef0b8f1939807fe164abc38582ed7,cdaa52d425b8372b88b765a2def6a97fdae4cb12f1bc0cef027e1689665ce2e3,Anchusa barrellieri,Leaf Area,0.1,Leaf Area|threshold|above|factor=0.1,5,5,5,TRUE,OndrejMottl,2026-08-27,Outputs/Reports/Trait_corrections/raw/trait_review_programmatic_spot_check_report.md
35c738d444c31e24f162527364d339d53e7a7a1601733075b2ef172c6472fe75,db4fec5cb7e3609c5b6a5780bafc841e6b6ae3784dbadce9688e7a66f6392bcc,Arrhenatherum elatius,Leaf Area,100,Leaf Area|threshold|below|factor=100,107,107,107,TRUE,OndrejMottl,2026-08-27,Outputs/Reports/Trait_corrections/raw/trait_review_programmatic_spot_check_report.md
522f4b250df4f7c82e8be783087eb44f6b6b5a47e6fcdddc2982d3434546692d,84f5203194c432db0de1762ef553f6752967103b386a2544ac2392c3f7b3659e,Artemisia campestris,Leaf Area,100,Leaf Area|threshold|below|factor=100,23,23,23,TRUE,OndrejMottl,2026-08-27,Outputs/Reports/Trait_corrections/raw/trait_review_programmatic_spot_check_report.md
18edce0abc223ced163d09d0b57a8d94b4708e5ed2d23ceb660138de0b27223b,d670cbb1969164876b97fca79064fe16ea52b4a2021ad996573bdadda2eccb8a,Asclepias syriaca,Leaf Area,100,Leaf Area|threshold|below|factor=100,57,57,57,TRUE,OndrejMottl,2026-08-27,Outputs/Reports/Trait_corrections/raw/trait_review_programmatic_spot_check_report.md
6f53e4b9e6788c1f8258c3156590a21eba1cb9647c22ea268141bef530786922,23823e9b39e4ae7ec85ea3615da69b44447f34d1352ae3f849aa3d8051495dd9,Betula pendula,Leaf Area,100,Leaf Area|threshold|below|factor=100,57,57,57,TRUE,OndrejMottl,2026-08-27,Outputs/Reports/Trait_corrections/raw/trait_review_programmatic_spot_check_report.md
a8e9173d7812e58bb2364e167e140fe4fcbfd78920b64fc0764f1d32a5f81520,ff1526d2a65f421199ffad59d4ac5c8b7cf25e3fb765881f4bb43ac92cb563e4,Bromus inermis,Leaf Area,100,Leaf Area|threshold|below|factor=100,336,336,336,TRUE,OndrejMottl,2026-08-27,Outputs/Reports/Trait_corrections/raw/trait_review_programmatic_spot_check_report.md
32added9ffb91295d84355b2c7d3a31f906154e093869a580409f6b8970e3cec,5adb70173e619e47020d73011fb0fe8c98bc108b6cc52236cc90174c4c61a148,Bromus tectorum,Leaf Area,100,Leaf Area|threshold|below|factor=100,32,32,32,TRUE,OndrejMottl,2026-08-27,Outputs/Reports/Trait_corrections/raw/trait_review_programmatic_spot_check_report.md
5acb1aa6774b6cc155d9ea91fde1d70d082c11d6bbb6d960a07e9e1bbb473e61,1b9202073d4f1280492af7993bcbe15f5763a09be90f25d5892c67c218a37376,Bupleurum fruticescens,Leaf Area,100,Leaf Area|threshold|below|factor=100,8,8,8,TRUE,OndrejMottl,2026-08-27,Outputs/Reports/Trait_corrections/raw/trait_review_programmatic_spot_check_report.md
79223c4c640310b0ac4de257c444ef58758dedbaa15bf89de6ab8a64e16d8b40,ac4f8b91d9c00dc0905b2c9d319636c7aeca2701eb881d6d057a34dcfe384153,Cercis canadensis,Leaf Area,100,Leaf Area|threshold|below|factor=100,55,55,55,TRUE,OndrejMottl,2026-08-27,Outputs/Reports/Trait_corrections/raw/trait_review_programmatic_spot_check_report.md
