analysis_id,tier_id,continent_id,resolution_id,scale_id,store_path,target_suffix,n_iter,n_sampling,n_early_stopping,is_temporal,target_name,n_locations,n_samples,n_taxa,cv_strategy,cv_feasibility_status,effective_folds,current_complexity_available,target_error_count,preparation_status,preparation_reason_code,preparation_observed_count,preparation_required_count,preparation_error_target,preparation_error
modern_spatial,continental,europe,family,europe,D:/GITHUB/BIODYNAMICS_vegetation_cooccurrence/Data/targets/modern_spatial_continental/europe/pipeline_modern_spatial_resolution,family,200,50,NA,FALSE,data_cross_validation_feasibility_family,19634,19634,83,spatially_stratified_group_kfold,grouped_kfold_feasible,5,TRUE,7202,prepared,NA,NA,NA,NA,NA
modern_spatial,continental,america,family,america,D:/GITHUB/BIODYNAMICS_vegetation_cooccurrence/Data/targets/modern_spatial_continental/america/pipeline_modern_spatial_resolution,family,200,50,NA,FALSE,data_cross_validation_feasibility_family,9895,9895,111,spatially_stratified_group_kfold,grouped_kfold_feasible,5,TRUE,5384,prepared,NA,NA,NA,NA,NA
modern_spatial,continental,asia,family,asia,D:/GITHUB/BIODYNAMICS_vegetation_cooccurrence/Data/targets/modern_spatial_continental/asia/pipeline_modern_spatial_resolution,family,200,50,NA,FALSE,data_cross_validation_feasibility_family,3638,3638,47,spatially_stratified_group_kfold,grouped_kfold_feasible,5,TRUE,2785,prepared,NA,NA,NA,NA,NA
modern_spatial,regional,europe,family,eu_r001,D:/GITHUB/BIODYNAMICS_vegetation_cooccurrence/Data/targets/modern_spatial_regional/eu_r001/pipeline_modern_spatial_resolution,family,500,200,NA,FALSE,data_cross_validation_feasibility_family,11,11,0,none,full_model_infeasible,NA,TRUE,899,prepared,NA,NA,NA,NA,NA
modern_spatial,regional,europe,family,eu_r002,D:/GITHUB/BIODYNAMICS_vegetation_cooccurrence/Data/targets/modern_spatial_regional/eu_r002/pipeline_modern_spatial_resolution,family,500,200,NA,FALSE,data_cross_validation_feasibility_family,3290,3290,45,spatially_stratified_group_kfold,grouped_kfold_feasible,5,TRUE,2902,prepared,NA,NA,NA,NA,NA
modern_spatial,regional,europe,family,eu_r003,D:/GITHUB/BIODYNAMICS_vegetation_cooccurrence/Data/targets/modern_spatial_regional/eu_r003/pipeline_modern_spatial_resolution,family,500,200,NA,FALSE,data_cross_validation_feasibility_family,NA,NA,NA,NA,NA,NA,FALSE,555,expected_infeasible,no_taxa_after_minimum_proportion,0,NA,data_community_rare_filtered_genus,No taxa found in data. Please check the input data. The minimum_proportion is too high.
modern_spatial,regional,europe,family,eu_r004,D:/GITHUB/BIODYNAMICS_vegetation_cooccurrence/Data/targets/modern_spatial_regional/eu_r004/pipeline_modern_spatial_resolution,family,500,200,NA,FALSE,data_cross_validation_feasibility_family,351,351,19,spatially_stratified_group_kfold,grouped_kfold_feasible,5,TRUE,1568,prepared,NA,NA,NA,NA,NA
modern_spatial,regional,europe,family,eu_r005,D:/GITHUB/BIODYNAMICS_vegetation_cooccurrence/Data/targets/modern_spatial_regional/eu_r005/pipeline_modern_spatial_resolution,family,500,200,NA,FALSE,data_cross_validation_feasibility_family,10638,10638,69,spatially_stratified_group_kfold,grouped_kfold_feasible,5,TRUE,4614,prepared,NA,NA,NA,NA,NA
modern_spatial,regional,europe,family,eu_r006,D:/GITHUB/BIODYNAMICS_vegetation_cooccurrence/Data/targets/modern_spatial_regional/eu_r006/pipeline_modern_spatial_resolution,family,500,200,NA,FALSE,data_cross_validation_feasibility_family,949,949,16,spatially_stratified_group_kfold,grouped_kfold_feasible,5,TRUE,979,prepared,NA,NA,NA,NA,NA
modern_spatial,regional,europe,family,eu_r007,D:/GITHUB/BIODYNAMICS_vegetation_cooccurrence/Data/targets/modern_spatial_regional/eu_r007/pipeline_modern_spatial_resolution,family,500,200,NA,FALSE,data_cross_validation_feasibility_family,446,446,44,spatially_stratified_group_kfold,grouped_kfold_feasible,5,TRUE,2074,prepared,NA,NA,NA,NA,NA
