candidate_id,trait_domain_name,low_dataset_id,low_dataset_name,low_trait_name,low_source_median,high_dataset_id,high_dataset_name,high_trait_name,high_source_median,source_median_ratio,unit_factor,unit_factor_relative_error
000ea5dc911be2d20ebc40872239ac34503fb52039561aea2a3e4e49574720e7,Leaf mass per area,97829,try_5181,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included",4.9379552810985745e-5,100679,try_8031,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded)",0.05322427877316686,1077.8606881455141,1000,0.07786068814551417
005518f290605659a121e84bce4ecd5b33834cc3c1f078662a19fb79d39cf174,Leaf nitrogen content per unit mass,101751,try_9103,Leaf nitrogen (N) content per leaf dry mass,1.92,103099,try_10451,Leaf nitrogen (N) content per leaf dry mass,20.1,10.468750000000002,10,0.04687500000000022
00aeb9d889c292d79c999f7281ae7019b12d734270849e88c2ede9b0129f7fb7,Leaf Area,102737,try_10089,"Leaf area (in case of compound leaves: leaf, petiole excluded)",11.0905,119679,try_27031,"Leaf area (in case of compound leaves: leaf, petiole included)",1333.25,120.21549975204003,100,0.20215499752040023
01008a5957bb4979ed26809ab2cb236a44e438c09613ced5c0ee795de2da2ff9,Leaf mass per area,124215,try_31567,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded)",0.008176100628776552,125352,bien_traits_362,leaf mass per area,0.08176100629445038,10.000000000817609,10,8.176082033628518e-11
0177e803a86f85711520ab357d014cc31cf63bf7cb2eade99034f80be21ef7b6,Leaf mass per area,104630,try_11982,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded)",0.002198381990854731,120882,try_28234,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded)",1.6882554327903663,767.9536312676819,1000,0.2320463687323181
01869756a81352839715e9c22f55819944abcb0c74fdbf0cf1f38461edbfc7e8,Leaf Area,103944,try_11296,"Leaf area (in case of compound leaves undefined if leaf or leaflet, undefined if petiole is in- or exluded)",68.28,103952,try_11304,"Leaf area (in case of compound leaves undefined if leaf or leaflet, undefined if petiole is in- or exluded)",8328.24,121.97188049209139,100,0.21971880492091378
01cb4a8d26244a5a6057de6f7c95301c301ecc661d7a586ff34285ea8a57ab66,Leaf Area,112656,try_20008,"Leaf area (in case of compound leaves: leaf, petiole included)",1.40475,120136,try_27488,"Leaf area (in case of compound leaves: leaf, undefined if petiole in- or excluded)",111.00000000000001,79.01761879337961,100,0.20982381206620393
01d537b88d32b890a9963ce3266a80a6217fa011f189c33bd5a60aa38fe268da,Plant heigh,111638,try_18990,Plant height vegetative,0.05,112273,try_19625,Plant height vegetative,40,800,1000,0.19999999999999996
01f1bfe1d0d08adf87eb6d7857425e0b2c53352187b04b0739db23615a97ef91,Leaf nitrogen content per unit mass,101458,try_8810,Leaf nitrogen (N) content per leaf dry mass,1.5122,126346,bien_traits_1356,leaf nitrogen content per leaf dry mass,16.126,10.66393334215051,10,0.06639333421505111
0215462c891592858dbc0e850099e4e9c9882f3e2ce7a485e8422a8b846c2e20,Plant heigh,169895,bien_traits_44905,whole plant height,3.9624,207583,bien_traits_82593,whole plant height,41.7576,10.538461538461537,10,0.053846153846153655
02431ed533851f6f068f2947e3a4380a4560b91255d2a8510c534e887a52d133,Leaf Area,119866,try_27218,"Leaf area (in case of compound leaves: leaf, undefined if petiole in- or excluded)",772,120046,try_27398,"Leaf area (in case of compound leaves: leaf, undefined if petiole in- or excluded)",6075,7.869170984455959,10,0.21308290155440412
028d53f267790715db1eadf08c7c3aeea75f95bdb6e9d7cb9f3aa1b2c3457d90,Leaf mass per area,124629,try_31981,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded)",0.010817271188840134,114838,try_22190,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded)",0.12403870007442323,11.466727412953313,10,0.14667274129533125
028e994836fc1bde3efd23fe2618aef337113f61c9f95713384f2741931f1467,Leaf mass per area,123304,try_30656,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded)",0.0026926759214774255,125066,bien_traits_76,leaf mass per area,0.027698529208099048,10.286618225078247,10,0.028661822507824564
0376c4ead821236cc7fecaea0da46245c0c2180c053d52d1a549aaed5c179993,Leaf mass per area,104802,try_12154,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded)",0.002678981903255022,92741,try_93,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included",0.2440397972592452,91.09423134315745,100,0.0890576865684255
041f7490a7ede56f3ba3da436b41aeac6ba21d551a00bf4be8400fa21e903871,Leaf mass per area,97821,try_5173,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included",1.7458220173970196e-5,92763,try_115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included",0.019559797093973014,1120.3775012034857,1000,0.12037750120348578
0483c6a4bd1a7d8464325d20bae62ec6620cc2bdbbeea034af561282d0b0099e,Leaf nitrogen content per unit mass,101748,try_9100,Leaf nitrogen (N) content per leaf dry mass,1.03,103099,try_10451,Leaf nitrogen (N) content per leaf dry mass,11.7,11.359223300970873,10,0.13592233009708732
057b2e5c7942da05a99987620b257b7294b9027ee5908f7d071c3a9dc0a68c89,Plant heigh,149007,bien_traits_24017,whole plant height,3.048,128975,bien_traits_3985,whole plant height,24.6888,8.1,10,0.19000000000000006
05907ed2a2b0c30fd39d2d649de9a9a2974e1a910105174f4ca02b281663ec95,Plant heigh,114926,try_22278,Plant height vegetative,1.95,114910,try_22262,Plant height vegetative,16.5,8.461538461538462,10,0.15384615384615385
06601911ee5cd32e7d789839627926d707cce9ff43ad7073443ce7f3750d3420,Plant heigh,112518,try_19870,Plant height vegetative,5.2,102759,try_10111,Plant height vegetative,600,115.38461538461539,100,0.15384615384615397
066226ecd474758522a8f29f38ef8ef4c5ad8521f8fb3057e72dd7766f276698,Leaf mass per area,107515,try_14867,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded)",0.007110995125913527,113765,try_21117,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded)",0.0668783488572449,9.404921206250053,10,0.05950787937499469
06a79b8a8e034f73902aa9093b2f5750f2b1213f22964b1698c5e559cdb858da,Plant heigh,303630,bien_traits_178640,whole plant height,0.3048,315740,bien_traits_190750,whole plant height,24.384,80,100,0.19999999999999996
06dfc975f35abef09093991ad4ff9ce2edf0542d934368301abb1bbf1ad0c2b2,Leaf mass per area,104023,try_11375,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded)",0.007272568006132509,115839,try_23191,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded)",0.07550945128462429,10.382776925695548,10,0.03827769256955493
077c306457b1d339f24eb30b2695214bb9c63d335c77acd2e2ececaeb840847b,Leaf nitrogen content per unit mass,104238,try_11590,Leaf nitrogen (N) content per leaf dry mass,1.836,107885,try_15237,Leaf nitrogen (N) content per leaf dry mass,19.515012,10.629091503267972,10,0.06290915032679711
0796ca25d1eb1561ded6879eaaa908bf00b3453197229255d4b8f2bd8deaa13c,Leaf mass per area,123619,try_30971,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded)",0.004600772684380012,102273,try_9625,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included",0.054889264983270514,11.930444894533458,10,0.19304448945334585
08418fb09252a2768ac56a9975c93147731a5128fa907d5e5fa9ba1193a39821,Plant heigh,112713,try_20065,Plant height vegetative,0.1,112672,try_20024,Plant height vegetative,83.1,830.9999999999999,1000,0.16900000000000015
084f9463085f2a6fab187ff5c768e0c7059295bd8debaa3f86836561d8d3ca7b,Plant heigh,276826,bien_traits_151836,whole plant height,3.048,135986,bien_traits_10996,whole plant height,33.2232,10.899999999999999,10,0.08999999999999986
086c8f9c320c67111367faa5c65c124f29218ed6ed2f0effbb7a329db70cbca3,Plant heigh,92746,try_98,Plant height vegetative,0.11,100694,try_8046,Plant height vegetative,82.83333333499999,753.0303030454545,1000,0.24696969695454551
0879608c7893d0d2cb7d753b51d073c6eb2fadc4c4bc68c9801374e267751042,Leaf mass per area,104622,try_11974,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded)",0.004514354144026664,125713,bien_traits_723,leaf mass per area,0.036603221083455345,8.108185560029282,10,0.18918144399707182
087fddfd414260f6b16e9e6593cc663e56dcb54b927f60fdd3e7b06651d000d6,Leaf mass per area,104628,try_11980,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded)",0.0012898232942086935,114149,try_21501,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded)",0.12008226913591483,93.09978326107476,100,0.06900216738925236
08da1347840550c0f4796fa2c768d7c5680a46cde0f3254bec0bc64781d9372f,Leaf mass per area,104135,try_11487,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded)",0.004405286343612335,108361,try_15713,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded)",0.04610419548178884,10.465652374366066,10,0.046565237436606566
09031bb991f531c0ce455c8d63398bb03ea04436d94e629242a13415d0f00302,Plant heigh,110841,try_18193,Plant height vegetative,1.275,110152,try_17504,Plant height vegetative,150,117.64705882352942,100,0.17647058823529416
0958ac08fe7f163c17cbf59472ddd98383bc0525f1232821b07c1286680cf3cd,Plant heigh,107885,try_15237,Plant height vegetative,0.8,112389,try_19741,Plant height vegetative,1000,1250,1000,0.25
