agent_group_id,group_kind,trait_domain_name,pattern_reference,n_candidates,n_records,maximum_candidate_impact,candidate_ids
462bf5d92de11d3770b6a39fcb19617cb766bb7538c1fc4f0b73d993f12c636a,source_pattern,Leaf mass per area,"Leaf mass per area|123304|try_30656|Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded)|125066|bien_traits_76|leaf mass per area|10",4,149,0.4238332999354307,028e994836fc1bde3efd23fe2618aef337113f61c9f95713384f2741931f1467;3eac5fdda9d79d20b1c4922f3811a3b81c5a4b3507fb66056a1d42f24abc3a39;a704a98ca186466816340b6da7088085b4ed9223894e79abec0bee7a857c09af;cc59895fad5af333361f206786e75f56fe135df9383ddb1944294d7da469c403
5942a94f61770a28ab4d644a2247f880260c3bfcb16c83ab4050f33f73dbabfd,source_pattern,Leaf mass per area,"Leaf mass per area|107515|try_14867|Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded)|113765|try_21117|Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded)|10",12,215,0.4834374234631399,066226ecd474758522a8f29f38ef8ef4c5ad8521f8fb3057e72dd7766f276698;0e981dfb0b2d89035b33ff474a5b5d2be07a80cc8e52d5e6d8aea1a06e91849b;4f629132b5e86d63c6f1cbf6ae8edd245679f788282512d51acd6cb24b311e97;5356c318a8102ea40b5d35cb5d6d7baa56b223a74b2fb08a16560c59696a80d2;72d7f80e5efc32d0ae7254049c0023d14c09497b72ff2fa3dd813d629f7f7c00;94f54ba0eb266aff8c48be9bf4b871792234ac2280e95beeb02db18900e4f1db;a0e2d84d99a1a94555cae2966445ed1cdb55e0289c0072d50c81535d657dcdd8;b789c3ab8983d5a3491e8e3c4af24934304c6ba5f5b93441d47a606535e47cca;bc5721746b8b799f3dd52be0dea606f626558f4c78f052cde095bbaf38182a6b;c15f0d73f80d3a2547e865a96431b68df7c26fa91231af99ed155216f3c20107;d67c15a30f754c1f1b0d1baed97f9dbdbe768c9ac519f2486f5d5978d01c259b;fab6e9032e178019468b103a70f61d366a7fb166e3b1d5fd6adda21f2ed4fb3f
66634aaef27bbdffa82c8ad770ecbd3170ea2588db9f9857c44c906ce6bf734f,source_pattern,Leaf nitrogen content per unit mass,Leaf nitrogen content per unit mass|101575|try_8927|Leaf nitrogen (N) content per leaf dry mass|100703|try_8055|Leaf nitrogen (N) content per leaf dry mass|10,4,98,0.4782772904483431,44c83b12b8d80e1a3bf0860fd37a78776e00e9191b58bd6c95006ed6e3b47420;883219bb10fd8c086a7bcef26d93cca21a92311c1ca71927d7f931f9791ec1c9;b35f55925c3fa0681c1495537b16dfc1b5bb1c815cf4be7528e439269c5df74d;de9442805dfd80de2587f6913ca1a306e44a6dbfee0989ad79c68cc449261ff1
7c9f055124beb78fff6f64dced9b2eccfeb6c79e4070fa42b9429d886b53177c,source_pattern,Leaf nitrogen content per unit mass,Leaf nitrogen content per unit mass|107293|try_14645|Leaf nitrogen (N) content per leaf dry mass|102530|try_9882|Leaf nitrogen (N) content per leaf dry mass|10,5,113,0.4704235335814283,49365b326b893cc0f165d8e9f3e5bd9bc953a81e2ebdf2e47bc714feb5bf5aca;679dbc94780bff2cec96cea54b239c287b5b55d81ce0d2a34a520f309841a26f;98ec47da65ebdc6eff4a6f581772589cd127f810437559dcaeff0cc5592502bd;a4ae7a6167eb9d5734be9160375bdb65eede16a054ae8142947ae382dae0b2bc;c95dac2dc7338e3bc075b0e1ef37e14d835ef1a53705b849d6b9ed78d7982b76
916d9ee3e57c7dbcce0b794a6f843a02c6ec7e6ebbb58d0e6be0fbfe2d4734dd,source_pattern,Leaf mass per area,"Leaf mass per area|124644|try_31996|Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded)|125029|bien_traits_39|leaf mass per area|10",4,638,0.64048963655315,54ba373f12d3ebf092215251db7c4906d9f20ff3c7b81283930611bc6e616567;aab4348bc128f867715c386ef923d53148e25c491409d63a3136e0eec034463a;d7b16a768c30ad0d51b388b51aa60d923e699d4869d853fec77e90e153dd522e;de56c951e200d9457a654d04ac249eece20264fd93163ff343e92e507ad0bf7c
9676439ffad42d89760631927996816edb45975fae89db47f1f95dd7fa4d375c,source_pattern,Leaf mass per area,"Leaf mass per area|124621|try_31973|Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded)|112504|try_19856|Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included|10",3,50,0.3313390014345195,39d60d74e35f9541c8482b947bc4d23eb711642cbfd34412195713bf899945cf;6aa4e9731f0fad9d0eed12143e89aba711323ad4a70ba938a31e459107550a5c;8f18de171f98d80d78d1ab7f481b18ccee11fb5496c40bb812e670c083be927c
9f0f498c4b3b6ddb8661c3c5c6265a02f8e544e0e881149fbf2cf1c6957c49b1,source_pattern,Leaf mass per area,"Leaf mass per area|104626|try_11978|Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded)|119684|try_27036|Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included|10",3,33,0.21413835980331206,892071f92d634c0c83939f40ebdc1056f1178e9b338be1d0e309dd2758a75ce8;992e675fd75f83b7647fbba3d625506269fe09e8b15e839f32b247e85bec2b82;a39dcb8251072f234b4255c3da3a96730969f0e8293f779c45a0a46e9836705b
b419ff547814b50183a1adaae99a581bf7d53f760eca053e2438c1c0f660562e,source_pattern,Leaf mass per area,"Leaf mass per area|103052|try_10404|Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded)|113765|try_21117|Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded)|10",14,296,0.5139991804668513,0d354569ba577786113e842d24af5e5aea66149457ea432b433cb3ef1ae073aa;0de4196e29c65a3ead2fdae44403482bc8f4391f1b868979a223c8f2584b3903;465e9ac0a6fc89c5a4f7304d772526b2c997a7d996c4ccea4a174059f6fba768;50f1e0516895e4a2daa1971e72d7f2d72ede43e53c135932eb61a03fbffa4360;5dd325fb3635aa51fd2e1c4638cbccc58fecd8c0a327209ee0a53d11fe5e72d3;9bc606e349ef2f0f22927a9b58530dd9169053f44d5b30d12688d945ec9b43d1;a7cdeb535ed8ff065673a3ce53b1b413ea1745547d67c21b9b254adc46094615;add6d0c7170291aa1fb6020bbcd657f4f681636aebcf9a4afa4329a64c3a0250;b5bd9d85bf92efda7d034b4c1678be2b98d864c0227e1dda9687049b5ac8a580;bd26f5d49ca2ceb2e2f51934d98f7ceb5f4d1e61d13277413b9f93f067e8c689;ceed901a54c4b28ab6c567d4b3111700c517b27e04e025b700a986a84b4c4878;dd035a796159b71b036ea219af79b41b4fa381b2c6a44b2d6cc4fe34508de9f4;dd6b6482100234a01dbd51527dfdfe144d035673c67a7561edb417c0ce2961a1;ebe5518ea0810fcb514a3519d3b8d22f04cb96b0f94d72de1c84b24d0cba5a2a
d94cadc11a9e2d3787fdd40f3c0ff983a89c5296ffeb5964809ccce8824f0bd5,source_pattern,Leaf nitrogen content per unit mass,Leaf nitrogen content per unit mass|104751|try_12103|Leaf nitrogen (N) content per leaf dry mass|102530|try_9882|Leaf nitrogen (N) content per leaf dry mass|10,3,106,0.46582108424213686,53424f221ce502fe3af84300a9dc688119fc1012fd886fc8a33abbdbe50d865e;c041abe762b5e6621748b68f7c252b03edd353bc8cf76d2fba8279ea55f0d9b0;d8b5f563d3927200db07becdfceca5c1abf5a67d5521cf610dc955d7fc81c7d1
f9e2f59ad4e8dfce5114f72465f96f5cb200eed81fe78d6f735a15c457ac5a9c,source_pattern,Leaf mass per area,"Leaf mass per area|121510|try_28862|Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included|125029|bien_traits_39|leaf mass per area|10",4,736,0.5713247859719802,25dc8ec48009cbf83c5f4d58a9955bf87de1b1fee37a3a52cf58166152490d84;e40cf6196e59059ee5c6603a7900ed0b4c6ffb4359c95a75685f3fe4ce3a6a04;e6ba86290e2b0d65b1338853a68110b350bffe48f14a6ca63ad8c548496b6d40;fe1cb3c537aecaf8237cf149463f88536b7fbc7c28fa6d7e231a4c43a72cd577
