decision_id,candidate_id,taxon_name,trait_domain_name,trait_name,dataset_id,value_lower,value_lower_inclusive,value_upper,value_upper_inclusive,action,scale_factor,rationale,evidence_reference,source_reference,review_status,reviewer,reviewed_at
fedd8c6107402564c2a29b8e3b9c3f1679bc6d221baef1cdef68f0ec216a7dd1,edc2bba182a27f64163780401edb64cc46840c908186df584dc848fbfbf138ab,Acacia dealbata,Diaspore mass,,,,,,,none,,No correction is supported after grouped source investigation; the approved conservative policy resolves this candidate to none.,Outputs/Reports/Trait_corrections/classified/trait_review_classified_reconciliation_report.md,grouped_investigation:edc2bba182a27f64163780401edb64cc46840c908186df584dc848fbfbf138ab,approved,OndrejMottl,2026-08-31
d9a1cc0cef993b29357df86034609cf2da90178316c500e70d163ecdec205183,0489a6e11d826c5dce817174d4f124381981c2e7c50eaea8ecfb32dfcd9a666f,Agoseris glauca,Diaspore mass,,,,,,,none,,No correction is supported after grouped source investigation; the approved conservative policy resolves this candidate to none.,Outputs/Reports/Trait_corrections/classified/trait_review_classified_reconciliation_report.md,grouped_investigation:0489a6e11d826c5dce817174d4f124381981c2e7c50eaea8ecfb32dfcd9a666f,approved,OndrejMottl,2026-08-31
ad9faaeff4560de9e2ab06a800376795f455dc49ea6ee070ba145bcf9dec2cdb,28b0cfc07c7332ea320684e5e620adbc25e4c2158c392a8541a4cf64aceda0a6,Ambrosia artemisiifolia,Diaspore mass,,,,,,,none,,No correction is supported after grouped source investigation; the approved conservative policy resolves this candidate to none.,Outputs/Reports/Trait_corrections/classified/trait_review_classified_reconciliation_report.md,grouped_investigation:28b0cfc07c7332ea320684e5e620adbc25e4c2158c392a8541a4cf64aceda0a6,approved,OndrejMottl,2026-08-31
5ca973b99b1df6537b7037520abda3d0ada799e7474154ac43cad3e490858a99,6454669dfc1f5e36dd060c052f76dfad9fca852db47a63ff5609a20412be21b5,Arctostaphylos uva-ursi,Diaspore mass,,,,,,,none,,No correction is supported after grouped source investigation; the approved conservative policy resolves this candidate to none.,Outputs/Reports/Trait_corrections/classified/trait_review_classified_reconciliation_report.md,grouped_investigation:6454669dfc1f5e36dd060c052f76dfad9fca852db47a63ff5609a20412be21b5,approved,OndrejMottl,2026-08-31
f2d0992c5e07fde72a3b2d84d4c2213ebc4a3d2d3cd32ba2e6527511919018b3,973b21b425554855363c018e0c7384b2f89f45371402162f6fc4cdca77883a03,Bromus erectus,Diaspore mass,,,,,,,none,,No correction is supported after grouped source investigation; the approved conservative policy resolves this candidate to none.,Outputs/Reports/Trait_corrections/classified/trait_review_classified_reconciliation_report.md,grouped_investigation:973b21b425554855363c018e0c7384b2f89f45371402162f6fc4cdca77883a03,approved,OndrejMottl,2026-08-31
63e57bdf623414d0b1d7a90d2b7e5a5d9dbc7ac6abf9be13ee4060aca4a7c6a9,766ce7ea77d6e4e7e2834d1d8a97ef85ecc3f5226c4851c8bd544b004888b0b2,Calluna vulgaris,Diaspore mass,,,,,,,none,,No correction is supported after grouped source investigation; the approved conservative policy resolves this candidate to none.,Outputs/Reports/Trait_corrections/classified/trait_review_classified_reconciliation_report.md,grouped_investigation:766ce7ea77d6e4e7e2834d1d8a97ef85ecc3f5226c4851c8bd544b004888b0b2,approved,OndrejMottl,2026-08-31
fbbae3d6a180d97bf9782a148775056c30f5011047a324a99e9bf922b2bea2dc,60b900c82c7d1e966932f5202aac5f44b7e9bfa39a46b81b532524a84561245d,Carex siccata,Diaspore mass,,,,,,,none,,No correction is supported after grouped source investigation; the approved conservative policy resolves this candidate to none.,Outputs/Reports/Trait_corrections/classified/trait_review_classified_reconciliation_report.md,grouped_investigation:60b900c82c7d1e966932f5202aac5f44b7e9bfa39a46b81b532524a84561245d,approved,OndrejMottl,2026-08-31
c9b1fb9efecc77d5f94fad3954e3482128d0aa9b159b482751472b212cb45e9f,20bfd46d3b78d8cbf13003b4ec0a163d056db51304ea3ae6f14ddab3be7039e8,Cistus albidus,Diaspore mass,,,,,,,none,,No correction is supported after grouped source investigation; the approved conservative policy resolves this candidate to none.,Outputs/Reports/Trait_corrections/classified/trait_review_classified_reconciliation_report.md,grouped_investigation:20bfd46d3b78d8cbf13003b4ec0a163d056db51304ea3ae6f14ddab3be7039e8,approved,OndrejMottl,2026-08-31
9dc2f02d5592068c801730016a56f6d9dbfdd451358c1cacbe111ccc741b1940,8f9df06ff5ec5d89b49e2555c4c671bc9d6dcf75a25a49546c6e91babe191afa,Cistus salviifolius,Diaspore mass,,,,,,,none,,No correction is supported after grouped source investigation; the approved conservative policy resolves this candidate to none.,Outputs/Reports/Trait_corrections/classified/trait_review_classified_reconciliation_report.md,grouped_investigation:8f9df06ff5ec5d89b49e2555c4c671bc9d6dcf75a25a49546c6e91babe191afa,approved,OndrejMottl,2026-08-31
049efd5c375174dcb0e64228d620295138bc7bbbb8cb55312152e53f5fa3ee1a,e32fdd69606a41c24e0ddc9483b95f8b91c58cad35c75d56a45c4eb65698fe06,Cymopterus lemmonii,Diaspore mass,,,,,,,none,,No correction is supported after grouped source investigation; the approved conservative policy resolves this candidate to none.,Outputs/Reports/Trait_corrections/classified/trait_review_classified_reconciliation_report.md,grouped_investigation:e32fdd69606a41c24e0ddc9483b95f8b91c58cad35c75d56a45c4eb65698fe06,approved,OndrejMottl,2026-08-31
c2330406c57aa120cb086382ad783bc68bac1b2724bb943760142adc21b4158d,188b51efc25d7ef29ffd1d1ae15a599aa41abf8c05aa3a4dbd6905eb70695d29,Daucus carota,Diaspore mass,,,,,,,none,,No correction is supported after grouped source investigation; the approved conservative policy resolves this candidate to none.,Outputs/Reports/Trait_corrections/classified/trait_review_classified_reconciliation_report.md,grouped_investigation:188b51efc25d7ef29ffd1d1ae15a599aa41abf8c05aa3a4dbd6905eb70695d29,approved,OndrejMottl,2026-08-31
48b7d7b412038ea72e30758bd19a7f8166bb48cffc86a05bce41c1dae7865dff,ffe538c40edd35dc0ec7c9295c06d18bf0f72a79e56ba916198ec93777e7c547,Dryas octopetala,Diaspore mass,,,,,,,none,,No correction is supported after grouped source investigation; the approved conservative policy resolves this candidate to none.,Outputs/Reports/Trait_corrections/classified/trait_review_classified_reconciliation_report.md,grouped_investigation:ffe538c40edd35dc0ec7c9295c06d18bf0f72a79e56ba916198ec93777e7c547,approved,OndrejMottl,2026-08-31
6becf7fdbeeff14f187b686aa761b364e1c3e1e056543d208853f597229863a3,dc7eb21d7815d9728ad2c1aa7a863c9173b7f9a6771b677e95d39c37bb0de50d,Elymus lanceolatus,Diaspore mass,,,,,,,none,,No correction is supported after grouped source investigation; the approved conservative policy resolves this candidate to none.,Outputs/Reports/Trait_corrections/classified/trait_review_classified_reconciliation_report.md,grouped_investigation:dc7eb21d7815d9728ad2c1aa7a863c9173b7f9a6771b677e95d39c37bb0de50d,approved,OndrejMottl,2026-08-31
5c21bc35aff0d964fd1bf721c67292189f0af60a6626415c1cabbed96164200f,5389062a74df41e56446e4a80ad8bf60e2ff8c3246424f8ff4317e5b00d32a22,Eremogone congesta,Diaspore mass,,,,,,,none,,No correction is supported after grouped source investigation; the approved conservative policy resolves this candidate to none.,Outputs/Reports/Trait_corrections/classified/trait_review_classified_reconciliation_report.md,grouped_investigation:5389062a74df41e56446e4a80ad8bf60e2ff8c3246424f8ff4317e5b00d32a22,approved,OndrejMottl,2026-08-31
d303593b7692c56477ed47d0bbe6804f1c7fbe01338f1a4f6f0ff898246ee04c,7139d3cf236b3cb5379e8c9496c81927af0cdf0cdb32d4062f5f63d66fdfde4b,Eriocoma lettermanii,Diaspore mass,,,,,,,none,,No correction is supported after grouped source investigation; the approved conservative policy resolves this candidate to none.,Outputs/Reports/Trait_corrections/classified/trait_review_classified_reconciliation_report.md,grouped_investigation:7139d3cf236b3cb5379e8c9496c81927af0cdf0cdb32d4062f5f63d66fdfde4b,approved,OndrejMottl,2026-08-31
32051b64dc6f1caf842bd5e465cabd318453426d7e3eb60951cf68b4fd86eeb1,eef1f5f9ae3043addcf734e78261331b4da380f9e1d8d6c65140eb0be0d5a5cc,Erodium cicutarium,Diaspore mass,,,,,,,none,,No correction is supported after grouped source investigation; the approved conservative policy resolves this candidate to none.,Outputs/Reports/Trait_corrections/classified/trait_review_classified_reconciliation_report.md,grouped_investigation:eef1f5f9ae3043addcf734e78261331b4da380f9e1d8d6c65140eb0be0d5a5cc,approved,OndrejMottl,2026-08-31
bdc4fd66ce5fb594d1fc32bed2c87b1432050fd8f6ae41270043ee98ffab21ed,32593112163c8f0376efdc9a59b1f0825135d6eecb7f7aaa2b3e15c692a3d942,Festuca ovina,Diaspore mass,,,,,,,none,,No correction is supported after grouped source investigation; the approved conservative policy resolves this candidate to none.,Outputs/Reports/Trait_corrections/classified/trait_review_classified_reconciliation_report.md,grouped_investigation:32593112163c8f0376efdc9a59b1f0825135d6eecb7f7aaa2b3e15c692a3d942,approved,OndrejMottl,2026-08-31
872774c9171962a7fd310cedb67ba2da486cd815fefeacf07ab347e917ccfce9,e8176d15b2c6438a0f7d4a31c521b69a50fb0b7dedcba8b21335ef9712b10f83,Helianthemum salicifolium,Diaspore mass,,,,,,,none,,No correction is supported after grouped source investigation; the approved conservative policy resolves this candidate to none.,Outputs/Reports/Trait_corrections/classified/trait_review_classified_reconciliation_report.md,grouped_investigation:e8176d15b2c6438a0f7d4a31c521b69a50fb0b7dedcba8b21335ef9712b10f83,approved,OndrejMottl,2026-08-31
fa9c81f8be8731c68295caa3e8fec966b077c80f0fe940f5faffbc7c4aa5da2b,57ba7d70dcd6be241abb84392c0bfa653d967ff50a31cea3aed18217cc744f13,Helictochloa pratensis,Diaspore mass,,,,,,,none,,No correction is supported after grouped source investigation; the approved conservative policy resolves this candidate to none.,Outputs/Reports/Trait_corrections/classified/trait_review_classified_reconciliation_report.md,grouped_investigation:57ba7d70dcd6be241abb84392c0bfa653d967ff50a31cea3aed18217cc744f13,approved,OndrejMottl,2026-08-31
